******** data/norm_wiki_en.txt ********
n	char	(+char)		word	(+word)
2	7.0438	(3.0504)	15.3666	(7.3427)
3	9.5114	(2.4677)	19.1508	(3.7842)
4	11.4512	(1.9398)	20.0134	(0.8626)
5	13.1532	(1.7020)	20.0959	(0.0825)
6	14.7676	(1.6144)	20.0989	(0.0030)
7	16.3075	(1.5399)	20.0990	(0.0001)
8	17.7271	(1.4196)	20.0990	(-0.0000)
9	18.9675	(1.2404)	20.0990	(-0.0000)
10	19.9822	(1.0147)	20.0990	(-0.0000)
11	20.7582	(0.7761)	20.0990	(-0.0000)
12	21.3187	(0.5604)	20.0990	(-0.0000)


******** data/sample3.txt ********
n	char	(+char)		word	(+word)
1	3.9303	(3.9303)	9.0611	(9.0611)
2	7.1148	(3.1845)	15.0074	(5.9463)
3	9.7427	(2.6279)	17.6393	(2.6319)
4	11.7667	(2.0240)	18.9049	(1.2655)
5	13.3009	(1.5342)	19.3199	(0.4150)
6	14.5513	(1.2504)	19.5203	(0.2004)
7	15.6354	(1.0841)	19.6331	(0.1129)
8	16.5936	(0.9582)	19.7171	(0.0839)
9	17.4294	(0.8358)	19.7815	(0.0644)
10	18.1485	(0.7191)	19.8361	(0.0546)
11	18.7656	(0.6170)	19.8813	(0.0452)
12	19.2975	(0.5319)	19.9206	(0.0393)


******** data/sample4.txt ********
n	char	(+char)		word	(+word)
1	4.2538	(4.2538)	17.1297	(17.1297)
2	8.4829	(4.2291)	20.5196	(3.3899)
3	12.7097	(4.2268)	20.8067	(0.2871)
4	16.8883	(4.1785)	20.8112	(0.0046)
5	20.6544	(3.7661)	20.8112	(0.0000)
6	23.0450	(2.3906)	20.8112	(-0.0000)
7	23.7534	(0.7084)	20.8112	(-0.0000)
8	23.8366	(0.0832)	20.8112	(-0.0000)
9	23.8428	(0.0062)	20.8112	(-0.0000)
10	23.8433	(0.0004)	20.8112	(-0.0000)
11	23.8433	(0.0000)	20.8112	(-0.0000)
12	23.8433	(0.0000)	20.8112	(-0.0000)


******** data/sample5.txt ********
n	char	(+char)		word	(+word)
1	4.4417	(4.4417)	16.5095	(16.5095)
2	7.9648	(3.5231)	16.5095	(-0.0000)
3	11.2154	(3.2506)	16.5095	(-0.0000)
4	14.0497	(2.8343)	16.5095	(-0.0000)
5	16.2221	(2.1724)	16.5095	(-0.0000)
6	17.6690	(1.4469)	16.5095	(-0.0000)
7	18.5537	(0.8847)	16.5095	(-0.0000)
8	19.0758	(0.5220)	16.5095	(-0.0000)
9	19.3749	(0.2991)	16.5095	(-0.0000)
10	19.5394	(0.1645)	16.5095	(-0.0000)
11	19.6258	(0.0864)	16.5095	(-0.0000)
12	19.6697	(0.0439)	16.5095	(-0.0000)
